name,ingredients,cuisine,description,instructions
Spaghetti Aglio e Olio,"Spaghetti, Garlic, Olive oil, Chili flakes, Parsley, Salt",Italian,"Simple Italian pasta tossed with garlic, olive oil, chili flakes, and parsley.","Step-1: Cook spaghetti until al dente; Step-2: Heat olive oil, sauté sliced garlic and chili flakes; Step-3: Toss spaghetti with garlic oil; Step-4: Add chopped parsley; Step-5: Serve hot."
Chicken Tikka Masala,"Chicken breast, Yogurt, Onion, Garlic, Ginger, Tomato puree, Garam masala, Cumin, Coriander, Chili powder, Cream",Indian,"Tender chicken pieces cooked in a creamy, spiced tomato sauce.","Step-1: Marinate chicken in yogurt and spices 1 hr; Step-2: Sauté onion, garlic, ginger; Step-3: Add tomato puree and spices, simmer 10 min; Step-4: Add chicken and cook until done; Step-5: Stir in cream, serve with rice or naan."
Vegetable Stir-Fry,"Broccoli, Carrot, Bell pepper, Snow peas, Onion, Garlic, Soy sauce, Olive oil",Chinese,"Mixed vegetables quickly stir-fried with soy sauce, garlic, and ginger.","Step-1: Heat oil in pan, sauté garlic; Step-2: Add vegetables and stir-fry 5–7 min; Step-3: Add soy sauce and toss; Step-4: Cook 2 more min; Step-5: Serve hot with rice."
Falafel,"Chickpeas, Onion, Garlic, Parsley, Cumin, Coriander, Flour, Baking powder, Salt, Olive oil",Middle Eastern,"Deep-fried balls made from ground chickpeas and spices.","Step-1: Soak chickpeas overnight; Step-2: Blend with onion, garlic, parsley, and spices; Step-3: Form balls and fry until golden; Step-4: Drain excess oil; Step-5: Serve with tahini sauce or pita."
Lentil Soup,"Red lentils, Carrot, Celery, Onion, Garlic, Vegetable broth, Cumin, Turmeric, Olive oil, Salt, Pepper",Middle Eastern,"Comforting soup made from lentils, vegetables, and spices.","Step-1: Sauté onion, garlic, carrot, celery in olive oil; Step-2: Add lentils and spices; Step-3: Pour in broth, simmer 20–25 min; Step-4: Blend partially for smooth texture; Step-5: Serve warm."
Chicken Fried Rice,"Cooked rice, Chicken breast, Onion, Garlic, Carrot, Peas, Soy sauce, Eggs, Oil",Chinese,"Stir-fried rice with chicken, vegetables, and soy sauce.","Step-1: Cook chicken in oil until browned; Step-2: Add vegetables, sauté 3 min; Step-3: Push veggies aside, scramble eggs; Step-4: Add rice and soy sauce, toss well; Step-5: Serve hot."
Hummus,"Chickpeas, Tahini, Lemon juice, Garlic, Olive oil, Salt",Middle Eastern,"Creamy chickpea dip blended with tahini, lemon, and garlic.","Step-1: Blend chickpeas, tahini, lemon juice, garlic; Step-2: Adjust salt and consistency; Step-3: Drizzle olive oil; Step-4: Serve with pita bread."
Grilled Chicken Shawarma,"Chicken thighs, Yogurt, Garlic, Lemon juice, Cumin, Coriander, Paprika, Olive oil",Middle Eastern,"Marinated chicken grilled and served with spices, often in a wrap.","Step-1: Marinate chicken 2 hr; Step-2: Grill or bake chicken 20–25 min; Step-3: Slice thinly; Step-4: Serve with salad or wrap."
Caprese Salad,"Tomato, Mozzarella, Basil, Olive oil, Balsamic vinegar, Salt",Italian,"Fresh mozzarella, tomatoes, and basil drizzled with olive oil.","Step-1: Slice tomatoes and mozzarella; Step-2: Layer with basil; Step-3: Drizzle olive oil and balsamic; Step-4: Season with salt; Step-5: Serve fresh."
Quinoa Salad,"Quinoa, Cucumber, Tomato, Red onion, Parsley, Lemon juice, Olive oil, Salt",International,"Protein-rich salad with quinoa, vegetables, and dressing.",Step-1: Cook quinoa and cool; Step-2: Chop vegetables and parsley; Step-3: Mix all with lemon juice and olive oil; Step-4: Season with salt; Step-5: Serve chilled.
Chicken Shawarma Bowl,"Chicken, Rice, Lettuce, Tomato, Cucumber, Yogurt, Garlic, Lemon, Olive oil",Middle Eastern,"Deconstructed shawarma served with rice, veggies, and sauces.","Step-1: Marinate and cook chicken; Step-2: Cook rice; Step-3: Assemble bowl with rice, chicken, vegetables; Step-4: Drizzle garlic yogurt sauce; Step-5: Serve."
Mushroom Risotto,"Arborio rice, Mushrooms, Onion, Garlic, Vegetable broth, Olive oil, Parmesan",Italian,Creamy Italian rice dish cooked with mushrooms and Parmesan.,Step-1: Sauté onion and garlic; Step-2: Add mushrooms and cook; Step-3: Add rice and gradually stir in broth; Step-4: Cook until creamy; Step-5: Add Parmesan and serve.
Sweet Potato Curry,"Sweet potato, Onion, Garlic, Coconut milk, Curry powder, Oil, Salt",Indian,Sweet potatoes cooked in a spiced curry sauce.,"Step-1: Sauté onion and garlic; Step-2: Add sweet potato and curry powder; Step-3: Pour coconut milk, simmer 15 min; Step-4: Adjust seasoning; Step-5: Serve with rice."
Vegetable Lasagna,"Lasagna sheets, Tomato sauce, Zucchini, Spinach, Ricotta, Mozzarella, Olive oil",Italian,"Layered pasta with vegetables, cheese, and tomato sauce.","Step-1: Preheat oven; Step-2: Layer sauce, vegetables, ricotta, sheets; Step-3: Repeat layers; Step-4: Top with mozzarella; Step-5: Bake 30–35 min."
Butternut Squash Soup,"Butternut squash, Onion, Garlic, Vegetable broth, Cream, Olive oil, Salt, Pepper",American,"Smooth, creamy soup made from roasted butternut squash.","Step-1: Sauté onion and garlic; Step-2: Add squash and broth, simmer 20 min; Step-3: Blend until smooth; Step-4: Stir in cream; Step-5: Serve hot."
Tabbouleh,"Bulgur, Parsley, Mint, Tomato, Cucumber, Lemon juice, Olive oil, Salt",Middle Eastern,"Levantine salad with parsley, bulgur, tomatoes, and lemon.",Step-1: Soak bulgur; Step-2: Chop vegetables and herbs; Step-3: Mix all ingredients; Step-4: Add lemon juice and olive oil; Step-5: Serve chilled.
Veggie Chili,"Kidney beans, Black beans, Tomato, Onion, Bell pepper, Garlic, Chili powder, Cumin",American,"Spicy stew made with beans, tomatoes, and vegetables.",Step-1: Sauté onion and garlic; Step-2: Add vegetables and beans; Step-3: Add spices; Step-4: Simmer 20 min; Step-5: Serve hot.
Cauliflower Biryani,"Cauliflower, Basmati rice, Onion, Garlic, Yogurt, Spices, Oil",Indian,Aromatic rice with roasted cauliflower and Indian spices.,Step-1: Sauté onion and garlic; Step-2: Add cauliflower and spices; Step-3: Layer partially cooked rice; Step-4: Cover and cook 15–20 min; Step-5: Serve hot.
Grilled Veggie Skewers,"Zucchini, Bell pepper, Mushroom, Onion, Olive oil, Salt, Pepper",Mediterranean,"Vegetables grilled on skewers, often with herbs and spices.",Step-1: Chop vegetables; Step-2: Thread onto skewers; Step-3: Brush with olive oil; Step-4: Grill 10–12 min; Step-5: Serve hot.
Baked Falafel,"Chickpeas, Onion, Garlic, Parsley, Cumin, Coriander, Baking powder, Olive oil",Middle Eastern,"Oven-baked chickpea balls, a healthier alternative to fried falafel.","Step-1: Blend chickpeas, onion, garlic, herbs, spices; Step-2: Form balls; Step-3: Bake at 200°C for 20 min; Step-4: Flip halfway; Step-5: Serve with sauce."
Lentil Salad,"Lentils, Tomato, Cucumber, Red onion, Parsley, Olive oil, Lemon juice, Salt",Mediterranean,"Salad made from cooked lentils, vegetables, and dressing.",Step-1: Cook lentils and cool; Step-2: Chop vegetables; Step-3: Mix all with olive oil and lemon juice; Step-4: Season with salt; Step-5: Serve chilled.
Zucchini Fritters,"Zucchini, Egg, Flour, Onion, Garlic, Salt, Pepper, Oil",Mediterranean,Pan-fried patties made from grated zucchini and flour.,"Step-1: Grate zucchini and squeeze out water; Step-2: Mix with egg, flour, onion, garlic, salt, pepper; Step-3: Fry spoonfuls in oil until golden; Step-4: Drain; Step-5: Serve hot."
Chicken Kebabs,"Chicken breast, Yogurt, Garlic, Lemon juice, Cumin, Paprika, Olive oil",Middle Eastern,Skewered marinated chicken grilled to perfection.,Step-1: Marinate chicken 1 hr; Step-2: Thread onto skewers; Step-3: Grill 10–12 min; Step-4: Turn occasionally; Step-5: Serve hot.
Moroccan Couscous,"Couscous, Carrot, Zucchini, Chickpeas, Onion, Cumin, Olive oil",Moroccan,Fluffy couscous served with vegetables and Moroccan spices.,Step-1: Sauté onion and vegetables; Step-2: Add spices and chickpeas; Step-3: Steam couscous; Step-4: Mix with vegetables; Step-5: Serve warm.
Spinach and Feta Pie,"Spinach, Feta, Onion, Phyllo dough, Olive oil, Egg",Greek,Savory pastry filled with spinach and feta cheese.,"Step-1: Sauté onion and spinach; Step-2: Mix with feta; Step-3: Layer phyllo sheets in baking dish, brushing with olive oil; Step-4: Add filling; Step-5: Bake 25–30 min."
Chickpea and Spinach Curry,"Chickpeas, Spinach, Onion, Garlic, Tomato, Spices, Oil",Indian,Chickpeas and spinach cooked in a spiced curry sauce.,Step-1: Sauté onion and garlic; Step-2: Add tomato and spices; Step-3: Add chickpeas and simmer 10 min; Step-4: Add spinach and cook 5 min; Step-5: Serve with rice.
Stuffed Zucchini,"Zucchini, Quinoa, Tomato, Onion, Garlic, Herbs, Olive oil",Mediterranean,"Zucchini filled with vegetables, rice, or meat and baked.","Step-1: Hollow zucchinis; Step-2: Sauté onion, garlic, tomato; Step-3: Mix with cooked quinoa; Step-4: Stuff zucchinis; Step-5: Bake 20 min."
Mushroom Stroganoff,"Mushroom, Onion, Garlic, Vegetable broth, Sour cream, Olive oil, Paprika",Russian,"Mushrooms cooked in a creamy sauce, often served with pasta or rice.","Step-1: Sauté onion and garlic; Step-2: Add mushrooms and paprika; Step-3: Pour broth, simmer 10 min; Step-4: Stir in sour cream; Step-5: Serve with rice or noodles."
Tomato Basil Soup,"Tomato, Onion, Garlic, Vegetable broth, Basil, Olive oil, Salt",Italian,Smooth tomato soup flavored with fresh basil.,Step-1: Sauté onion and garlic; Step-2: Add tomato and broth; Step-3: Simmer 15 min; Step-4: Blend until smooth; Step-5: Add basil and serve hot.
Eggplant Caponata,"Eggplant, Tomato, Onion, Celery, Olive oil, Vinegar, Capers",Italian,Sicilian sweet and sour eggplant dish with olives and capers.,"Step-1: Sauté onion, celery; Step-2: Add eggplant and tomato; Step-3: Add vinegar and capers; Step-4: Simmer 15 min; Step-5: Serve warm or chilled."
Quinoa Stuffed Peppers,"Bell peppers, Quinoa, Tomato, Onion, Black beans, Corn, Spices",Mexican,"Bell peppers stuffed with quinoa, vegetables, and spices.","Step-1: Cook quinoa; Step-2: Sauté onion, tomato, beans, corn; Step-3: Mix with quinoa; Step-4: Stuff peppers; Step-5: Bake 20 min."
Carrot and Lentil Soup,"Carrot, Red lentils, Onion, Garlic, Vegetable broth, Cumin, Olive oil",Middle Eastern,Healthy soup made from carrots and red lentils.,"Step-1: Sauté onion and garlic; Step-2: Add carrot, lentils, and spices; Step-3: Pour broth and simmer 20 min; Step-4: Blend partially; Step-5: Serve hot."
Sweet Potato and Chickpea Stew,"Sweet potato, Chickpeas, Onion, Garlic, Tomato, Cumin, Coriander, Olive oil",Middle Eastern,"Hearty stew with sweet potatoes, chickpeas, and spices.","Step-1: Sauté onion and garlic; Step-2: Add sweet potato, chickpeas, tomato, and spices; Step-3: Simmer 15–20 min; Step-4: Adjust seasoning; Step-5: Serve hot."
Roasted Cauliflower,"Cauliflower, Olive oil, Paprika, Garlic, Salt, Pepper",Mediterranean,Oven-roasted cauliflower with herbs and spices.,"Step-1: Preheat oven; Step-2: Toss cauliflower with oil, garlic, paprika, salt, pepper; Step-3: Roast 20–25 min; Step-4: Stir halfway; Step-5: Serve hot."
Greek Veggie Wrap,"Tortilla, Hummus, Cucumber, Tomato, Feta, Lettuce",Greek,"Wrap filled with vegetables, feta, and tzatziki.",Step-1: Spread hummus on tortilla; Step-2: Layer vegetables and feta; Step-3: Roll tightly; Step-4: Slice; Step-5: Serve immediately.
Butternut Squash Risotto,"Arborio rice, Butternut squash, Onion, Garlic, Vegetable broth, Parmesan, Olive oil",Italian,Creamy risotto cooked with roasted butternut squash.,Step-1: Sauté onion and garlic; Step-2: Add rice and stir; Step-3: Gradually add broth while stirring; Step-4: Add roasted butternut squash; Step-5: Stir in Parmesan and serve hot.
Vegetable Tagine,"Carrot, Zucchini, Chickpeas, Onion, Tomato, Spices, Olive oil",Moroccan,Moroccan slow-cooked vegetable stew with aromatic spices.,Step-1: Sauté onion; Step-2: Add vegetables and chickpeas; Step-3: Add spices and water; Step-4: Simmer 20–25 min; Step-5: Serve hot.
Chickpea Salad Sandwich,"Chickpeas, Celery, Onion, Mayonnaise, Lemon juice, Whole grain bread",American,Sandwich filled with mashed chickpeas and seasonings.,"Step-1: Mash chickpeas; Step-2: Mix with chopped celery, onion, mayonnaise, lemon; Step-3: Spread on bread; Step-4: Add lettuce if desired; Step-5: Serve."
Tomato and Basil Pasta,"Pasta, Tomato, Garlic, Olive oil, Basil, Parmesan",Italian,"Pasta tossed with fresh tomatoes, garlic, and basil.",Step-1: Cook pasta; Step-2: Sauté garlic and tomato; Step-3: Toss pasta with sauce; Step-4: Add basil and Parmesan; Step-5: Serve hot.
Spinach Chickpea Stew,"Spinach, Chickpeas, Onion, Garlic, Tomato, Cumin, Olive oil",Middle Eastern,"Healthy stew made with spinach, chickpeas, and spices.",Step-1: Sauté onion and garlic; Step-2: Add tomato and chickpeas; Step-3: Add cumin; Step-4: Stir in spinach and cook 5 min; Step-5: Serve hot.
Veggie Fried Rice,"Cooked rice, Carrot, Peas, Onion, Garlic, Soy sauce, Oil",Chinese,Rice stir-fried with mixed vegetables and soy sauce.,Step-1: Sauté onion and garlic; Step-2: Add vegetables and stir-fry 5 min; Step-3: Add rice and soy sauce; Step-4: Toss 2 min; Step-5: Serve hot.
Roasted Vegetable Sandwich,"Bread, Zucchini, Bell pepper, Eggplant, Hummus",Mediterranean,Sandwich with assorted roasted vegetables and spreads.,Step-1: Roast vegetables 15–20 min; Step-2: Spread hummus on bread; Step-3: Layer roasted vegetables; Step-4: Assemble sandwich; Step-5: Serve immediately.
Lentil Shepherd’s Pie,"Lentils, Carrot, Onion, Garlic, Mashed potato, Olive oil",British,"Layered dish with lentils, vegetables, and mashed potato topping.","Step-1: Sauté onion, garlic, carrot; Step-2: Add cooked lentils; Step-3: Season and simmer 5 min; Step-4: Top with mashed potato; Step-5: Bake 20 min at 200°C."
Caprese Sandwich,"Bread, Tomato, Mozzarella, Basil, Olive oil, Balsamic",Italian,"Sandwich with mozzarella, tomatoes, basil, and olive oil.",Step-1: Slice tomato and mozzarella; Step-2: Layer on bread with basil; Step-3: Drizzle olive oil and balsamic; Step-4: Assemble sandwich; Step-5: Serve fresh.
Chickpea Pasta,"Pasta, Chickpeas, Tomato, Garlic, Olive oil, Spinach",Mediterranean,Pasta made with chickpea flour or served with chickpea sauce.,Step-1: Cook pasta; Step-2: Sauté garlic and tomato; Step-3: Add chickpeas; Step-4: Toss pasta and spinach; Step-5: Serve hot.
Vegetable Pad Thai,"Rice noodles, Tofu, Carrot, Bean sprouts, Peanuts, Soy sauce, Garlic, Lime",Thai,Thai rice noodles stir-fried with vegetables and peanuts.,"Step-1: Soak noodles until soft; Step-2: Sauté tofu until golden; Step-3: Add garlic and carrots; Step-4: Add noodles and soy sauce, toss; Step-5: Add bean sprouts, peanuts, and lime. Serve hot."
Chicken and Vegetable Soup,"Chicken, Carrot, Celery, Onion, Garlic, Rice, Salt, Pepper",American,,"Step-1: Sauté onion, garlic, carrot, and celery; Step-2: Add chicken and water, bring to boil; Step-3: Simmer until chicken is cooked; Step-4: Add rice and cook 15 min; Step-5: Season and serve."
Chickpea Tacos,"Chickpeas, Taco shells, Lettuce, Tomato, Onion, Cumin, Olive oil",Mexican,"Tacos filled with spiced chickpeas, vegetables, and sauces.",Step-1: Sauté onion and spices; Step-2: Add chickpeas and cook 5 min; Step-3: Warm taco shells; Step-4: Fill tacos with chickpeas and veggies; Step-5: Serve hot.
Lentil and Spinach Stew,"Lentils, Spinach, Onion, Garlic, Carrot, Cumin, Vegetable broth",Middle Eastern,"Hearty stew with lentils, spinach, and spices.","Step-1: Sauté onion, garlic, and carrot; Step-2: Add lentils and broth; Step-3: Simmer until lentils are soft; Step-4: Add spinach and cook 2-3 min; Step-5: Serve warm."
Quinoa and Black Bean Salad,"Quinoa, Black beans, Corn, Tomato, Cilantro, Lime juice, Olive oil",Mexican,"Protein-rich salad with quinoa, black beans, vegetables, and dressing.","Step-1: Cook quinoa and cool; Step-2: Mix with beans, corn, and tomato; Step-3: Add cilantro, lime juice, and olive oil; Step-4: Toss well; Step-5: Serve chilled or at room temp."
Tofu Stir Fry,"Tofu, Broccoli, Bell pepper, Carrot, Garlic, Soy sauce, Sesame oil",Chinese,Tofu and vegetables quickly stir-fried with soy sauce and spices.,Step-1: Press and cube tofu; Step-2: Sauté garlic and vegetables; Step-3: Add tofu and soy sauce; Step-4: Stir-fry 5-7 min; Step-5: Serve hot with rice.
Stuffed Cabbage Rolls,"Cabbage, Rice, Carrot, Onion, Tomato sauce, Herbs, Olive oil",Middle Eastern,"Cabbage leaves filled with rice, vegetables, and sometimes lentils.",Step-1: Blanch cabbage leaves; Step-2: Cook rice with onion and carrot; Step-3: Fill cabbage leaves with rice mixture; Step-4: Place in baking dish and cover with tomato sauce; Step-5: Bake 25-30 min and serve.
Veggie Pizza,"Pizza dough, Tomato sauce, Zucchini, Bell pepper, Mushroom, Mozzarella",Italian,Pizza topped with assorted vegetables and cheese.,Step-1: Preheat oven and roll dough; Step-2: Spread tomato sauce; Step-3: Top with vegetables and cheese; Step-4: Bake 15-20 min; Step-5: Slice and serve hot.
Moroccan Lentil Soup,"Lentils, Carrot, Celery, Onion, Garlic, Cumin, Paprika",Moroccan,Spiced lentil soup with Moroccan flavors like cumin and coriander.,"Step-1: Sauté onion, garlic, carrot, and celery; Step-2: Add lentils and water; Step-3: Add spices and simmer; Step-4: Cook until lentils are tender; Step-5: Serve hot."
Zucchini Noodles with Pesto,"Zucchini, Basil, Garlic, Olive oil, Pine nuts, Parmesan",Italian,Spiralized zucchini tossed in a basil pesto sauce.,"Step-1: Spiralize zucchini; Step-2: Blend basil, garlic, olive oil, pine nuts, Parmesan to make pesto; Step-3: Sauté zucchini lightly; Step-4: Toss with pesto; Step-5: Serve immediately."
Sweet Potato and Black Bean Chili,"Sweet potato, Black beans, Onion, Garlic, Tomato, Chili powder",American,"Spicy stew with sweet potatoes, black beans, and tomatoes.","Step-1: Sauté onion and garlic; Step-2: Add sweet potatoes and cook 5 min; Step-3: Add beans, tomatoes, and spices; Step-4: Simmer 20 min; Step-5: Serve hot."
Roasted Vegetable Couscous,"Couscous, Zucchini, Carrot, Bell pepper, Olive oil, Lemon juice",Mediterranean,Couscous served with oven-roasted vegetables and spices.,Step-1: Roast vegetables with olive oil; Step-2: Cook couscous; Step-3: Mix couscous with vegetables; Step-4: Drizzle lemon juice; Step-5: Serve warm or cold.
Baked Tofu with Vegetables,"Tofu, Broccoli, Carrot, Olive oil, Soy sauce, Garlic",Chinese,Tofu baked with vegetables and seasoning.,Step-1: Cube tofu and toss with olive oil and soy sauce; Step-2: Roast tofu and vegetables; Step-3: Sauté garlic; Step-4: Mix roasted tofu and vegetables; Step-5: Serve hot.
Chickpea Burgers,"Chickpeas, Onion, Garlic, Carrot, Breadcrumbs, Olive oil",American,"Vegetarian burger made with mashed chickpeas, spices, and breadcrumbs.",Step-1: Mash chickpeas and mix with vegetables and breadcrumbs; Step-2: Form patties; Step-3: Heat olive oil and cook patties 5 min each side; Step-4: Serve in bun with toppings; Step-5: Serve hot.
Eggplant and Tomato Stew,"Eggplant, Tomato, Onion, Garlic, Olive oil, Herbs",Mediterranean,Slow-cooked eggplant and tomatoes with herbs and spices.,Step-1: Sauté onion and garlic; Step-2: Add eggplant and cook until soft; Step-3: Add tomato and herbs; Step-4: Simmer 10-15 min; Step-5: Serve warm.
Spinach and Chickpea Patties,"Spinach, Chickpeas, Onion, Garlic, Flour, Olive oil",Middle Eastern,Pan-fried patties made from spinach and chickpeas.,Step-1: Mash chickpeas and mix with spinach and onion; Step-2: Form patties; Step-3: Heat olive oil and fry patties; Step-4: Cook until golden; Step-5: Serve hot with sauce.
Vegetable Korma,"Carrot, Peas, Potato, Onion, Garlic, Coconut milk, Spices",Indian,Mildly spiced Indian curry with assorted vegetables in a creamy sauce.,Step-1: Sauté onion and garlic; Step-2: Add vegetables and spices; Step-3: Pour coconut milk and simmer; Step-4: Cook until tender; Step-5: Serve with rice.
Quinoa Veggie Bowl,"Quinoa, Broccoli, Carrot, Bell pepper, Soy sauce, Olive oil",Mediterranean,"Healthy bowl with quinoa, vegetables, and dressing.",Step-1: Cook quinoa; Step-2: Sauté vegetables; Step-3: Mix with quinoa; Step-4: Add soy sauce and olive oil; Step-5: Serve warm.
Roasted Carrot Soup,"Carrot, Onion, Garlic, Vegetable broth, Olive oil, Cream",American,Smooth soup made with roasted carrots and seasonings.,Step-1: Roast carrots with olive oil; Step-2: Sauté onion and garlic; Step-3: Add carrots and broth; Step-4: Blend until smooth; Step-5: Add cream and serve hot.
